"Fazenda";"Estrato";"Talhao";"Plantio";"Id_Amostra";"Material_Genetico";"Idade (anos)";"Data_Medicao";"Data_Plantio";"Area_Plantio (ha)";"Amostra";"MAC";"DAP (cm)";"Altura_Instalacao (m)";"Altura (m)";"VICC (m3)";"VISC (m3)";"g (m2)";"Coordenada_X";"Coordenada_Y";"Dap_Estimado"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,57";"01/02/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"11,1408";"15,00";"15,00000";"0,06790";"0,05610";"0,00970";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,59";"10/02/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,2895";"";"15,24340";"0,07080";"0,05860";"0,01000";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,59";"11/02/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,3060";"";"15,27030";"0,07110";"0,05890";"0,01000";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,6";"12/02/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,3225";"";"15,29720";"0,07140";"0,05920";"0,01010";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,6";"13/02/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,3390";"";"15,32400";"0,07170";"0,05940";"0,01010";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,6";"14/02/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,3555";"";"15,35080";"0,07210";"0,05970";"0,01010";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,6";"15/02/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,3720";"";"15,37750";"0,07240";"0,06000";"0,01020";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,61";"16/02/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,3885";"";"15,40430";"0,07270";"0,06030";"0,01020";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,61";"17/02/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,4051";"";"15,43090";"0,07300";"0,06060";"0,01020";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,61";"18/02/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,4216";"";"15,45760";"0,07340";"0,06090";"0,01020";"-39,45669619";"-16,05417287";"True"
